17,04,09,07,13,pour over,Trinity,Jonesboro,GA
17,04,09,10,53,drip,Trinity,Jonesboro,GA
17,04,10,09,44,aeropress,work,Atlanta,GA
17,04,10,12,43,aeropress,work,Atlanta,GA
17,04,10,16,38,drip,work,Atlanta,GA
17,04,11,08,44,espresso,work,Atlanta,GA
17,04,11,13,59,drip,work,Atlanta,GA
17,04,12,08,43,espresso,work,Atlanta,GA
17,04,12,12,38,pour over,Blue Donkey,Atlanta,GA
17,04,12,18,33,pour over,home,Atlanta,GA
17,04,13,10,01,aeropress,work,Atlanta,GA
17,04,13,12,47,drip,work,Atlanta,GA
17,04,14,08,47,aeropress,work,Atlanta,GA
17,04,14,13,15,drip,work,Atlanta,GA
17,04,14,13,51,drip,work,Atlanta,GA
17,04,15,10,01,siphon,home,Atlanta,GA
17,04,15,13,42,pour over,home,Atlanta,GA
17,04,16,07,51,mocha,Joe's,Atlanta,GA
17,04,17,08,13,aeropress,work,Atlanta,GA
17,04,18,08,23,aeropress,work,Atlanta,GA
17,04,18,14,58,drip,work,Atlanta,GA
17,04,19,08,53,aeropress,work,Atlanta,GA
17,04,19,12,33,drip,work,Atlanta,GA
17,04,19,15,28,drip,work,Atlanta,GA
17,04,19,16,20,drip,work,Atlanta,GA
17,04,19,19,00,drip,work,Atlanta,GA
17,04,20,09,08,aeropress,work,Atlanta,GA
17,04,20,13,31,drip,work,Atlanta,GA
17,04,20,15,24,espresso,work,Atlanta,GA
17,04,20,15,49,espresso,work,Atlanta,GA
17,04,20,18,45,drip,work,Atlanta,GA
17,04,20,20,48,drip,work,Atlanta,GA
17,04,21,07,58,mocha,Joe's,Atlanta,GA
17,04,21,09,27,aeropress,work,Atlanta,GA
17,04,21,13,23,drip,work,Atlanta,GA
17,04,21,16,16,drip,work,Atlanta,GA
17,04,21,19,56,drip,work,Atlanta,GA
17,04,21,21,39,drip,work,Atlanta,GA
17,04,21,22,48,drip,work,Atlanta,GA
17,04,22,11,44,pour over,home,Atlanta,GA
17,04,22,14,18,pour over,home,Atlanta,GA
17,04,22,18,13,pour over,home,Atlanta,GA
17,04,24,08,33,aeropress,work,Atlanta,GA
17,04,24,12,27,aeropress,work,Atlanta,GA
17,04,24,18,10,pour over,home,Atlanta,GA
17,04,25,07,30,drip,work,Atlanta,GA
17,04,25,08,02,drip,work,Atlanta,GA
17,04,25,10,44,drip,work,Atlanta,GA
17,04,25,13,29,drip,work,Atlanta,GA
17,04,25,14,54,pour over,Blue Donkey,Atlanta,GA
17,04,26,09,34,aeropress,work,Atlanta,GA
17,04,26,19,33,drip,Trinity,Jonesboro,GA
17,04,26,19,55,drip,Trinity,Jonesboro,GA
17,04,27,08,51,aeropress,work,Atlanta,GA
17,04,27,12,33,drip,work,Atlanta,GA
17,04,28,08,43,mocha,Joe's,Atlanta,GA
17,04,28,10,23,aeropress,work,Atlanta,GA
17,04,28,12,44,drip,work,Atlanta,GA
17,04,28,13,22,drip,work,Atlanta,GA
17,04,28,15,30,drip,work,Atlanta,GA
17,04,28,20,04,mocha,Caribou coffee,Atlanta,GA
17,04,30,07,34,pour over,Trinity,Jonesboro,GA
17,04,30,10,48,mocha,Trinity,Jonesboro,GA
17,05,01,07,23,pour over,home,Atlanta,GA
17,05,01,10,19,drip,work,Atlanta,GA
17,05,01,18,10,pour over,home,Atlanta,GA
17,05,01,19,22,iced coffee,home,Atlanta,GA
17,05,02,09,27,aeropress,work,Atlanta,GA
17,05,02,12,53,espresso,work,Atlanta,GA
17,05,03,08,14,aeropress,work,Atlanta,GA
17,05,03,12,54,drip,work,Atlanta,GA
17,05,03,16,51,drip,work,Atlanta,GA
17,05,04,08,02,pour over,home,Atlanta,GA
17,05,04,12,20,pour over,home,Atlanta,GA
17,05,05,08,04,aeropress,work,Atlanta,GA
17,05,05,12,49,pour over,Blue Donkey,Atlanta,GA
17,05,07,08,11,flat white,Starbucks,Atlanta,GA
17,05,08,08,14,drip,travelling,KCM
17,05,08,15,01,drip,travelling,Colby,KS
17,05,08,17,27,drip,travelling,Parker,CO
17,05,09,07,54,drip,travelling,Parker,CO
17,05,10,11,07,mocha,Flying M,Nampa,ID
17,05,11,08,33,drip,Flying M,Nampa,ID
17,05,11,12,23,drip,travelling,Kennewick,WA
17,05,12,07,08,drip,home,Kirkland,WA
17,05,12,11,48,espresso,Starbucks,Tacoma,WA
17,05,12,17,15,drip,home,Tacoma,WA
17,05,13,09,33,drip,travelling,Tacoma,WA
17,05,14,10,30,drip,Starbucks,Tacoma,WA
17,05,15,08,01,pour over,Urban Coffee Lounge,Kirkland,WA
17,05,15,08,12,pour over,Urban Coffee Lounge,Kirkland,WA
17,05,15,11,58,drip,work,Bellevue,WA
17,05,15,15,15,drip,work,Bellevue,WA
17,05,16,08,44,drip,work,Bellevue,WA
17,05,16,14,47,drip,work,Bellevue,WA
17,05,16,16,51,drip,work,Bellevue,WA
17,05,17,08,50,drip,work,Bellevue,WA
17,05,17,10,27,drip,work,Bellevue,WA
17,05,17,12,45,drip,work,Bellevue,WA
